"DESCRIPTION","COUNTRY","VALUE","YEAR","PARTNER","SOURCE"
"imports (USD billion)","India","6.66","2021","",""
"exports (USD billion)","India","24.35","2021","",""
"imports (rupias)","India","60060","2022","",""
"exports (rupias)","India","174955","2022","",""
"exports medical devices (USD million)","India","2923.16","2022","",""
"imports medical devices (USD million)","India","8539.5","2022","",""
"imports (USD billion)","India","8.06","2022","",""
"exports (USD billion)","India","23.5","2022","",""
"exports (million USD)","Argentina","56.6","2017","",""
"exports equipments (%)","Argentina","0.52","2017","",""
"exports raw materials (%)","Argentina","0.26","2017","",""
"exports implants (%)","Argentina","0.22","2017","",""
"imports (million USD)","Argentina","839.8","2017","",""
"imports equipments (%)","Argentina","0.54","2017","",""
"imports raw materials (%)","Argentina","0.29","2017","",""
"imports implants (%)","Argentina","0.17","2017","",""
"exports (million USD)","Argentina","928","2018","",""
"Ventas Medicamento ético (Mill. Pesos)","Argentina","586.1","2021","",""
"Ventas Medicamento de venta libre (Mill. Pesos)","Argentina","74.7","2021","",""
"Consumo Medicamento ético (Mill. Pesos)","Argentina","545.7","2021","",""
"Consumo Medicamento de venta libre (Mill. Pesos)","Argentina","203.9","2021","",""
"Exportaciones (mill USD) ","Argentina","1123.8","2021","",""
"Importaciones (mill USD)","Argentina","4838.3","2021","",""
"Exportaciones principios activos (mill USD)","Argentina","211.1","2021","",""
"Exportaciones Medicamentos (mill USD)","Argentina","883.9","2021","",""
"Exportaciones Reactivos (mill USD)","Argentina","28.8","2021","",""
"Importaciones principios activos (mill USD)","Argentina","1341.5","2021","",""
"Importaciones Medicamentos (mill USD)","Argentina","3291.6","2021","",""
"Importaciones Reactivos (mill USD)","Argentina","205.4","2021","",""
"strategical molecules","Brazil","50","","",""
"strategical molecules production ","Brazil","7","","",""
"API production","Brazil","124","","",""
"API production","Several","20","","",""
"Raw materials Brazil and Argentina total","Several","350","","",""
"API production","India","500","","",""
"Global exports masks, gloves and protective garments %","China","0.46","2020","","Medical Industries in Africa - A regional response to supply shortages"
"Hydrogen medications imports (USD million)","Africa continent","340","2020","","Medical Industries in Africa - A regional response to supply shortages"
"Test Kits imports (USD million)","Africa continent","150","2020","","Medical Industries in Africa - A regional response to supply shortages"
"Urine bags imports (USD million)","Africa continent","98","2020","","Medical Industries in Africa - A regional response to supply shortages"
"African personal protective equipment imports %","world top five exporters","0.71","2020","","Medical Industries in Africa - A regional response to supply shortages"
"African disinfectants and sterilizers imports %","world top five exporters","0.66","2020","","Medical Industries in Africa - A regional response to supply shortages"
"African other medical products imports %","world top five exporters","0.48","2020","","Medical Industries in Africa - A regional response to supply shortages"
"African imports of personal protective equipment subjected to trade measures %","Africa continent","0.76","2020","","Medical Industries in Africa - A regional response to supply shortages"
"African imports of other medical supplies were subject to temporary trade measures %","Africa continent","0.72","2020","","Medical Industries in Africa - A regional response to supply shortages"
"African imports on textile facing trade restrictions %","Africa continent","0.96","2020","","Medical Industries in Africa - A regional response to supply shortages"
"African imports on filtered masks facing trade restrictions %","Africa continent","0.9","2020","","Medical Industries in Africa - A regional response to supply shortages"
"African medical/surgical equipment (USD billion)","Africa continent","1.9","2020","","Medical Industries in Africa - A regional response to supply shortages"
"African disinfectants and sterilizers imports (USD billion)","Africa continent","9.4","2020","","Medical Industries in Africa - A regional response to supply shortages"
"African medical consumables imports (USD billion)","Africa continent","3.4","2020","","Medical Industries in Africa - A regional response to supply shortages"
"African Test Kits imports (USD billion)","Africa continent","2.5","2020","","Medical Industries in Africa - A regional response to supply shortages"
"African other medical products imports (USD billion)","Africa continent","1.6","2020","","Medical Industries in Africa - A regional response to supply shortages"
"African PPE imports (USD billion)","Africa continent","0.8","2020","","Medical Industries in Africa - A regional response to supply shortages"
"African oxygen therapy equipment (USD billion)","Africa continent","0.2","2020","","Medical Industries in Africa - A regional response to supply shortages"
