,Segments,Type,YEAR,Total exports million USD,Main exports destiny,Value exports main partner,Partner share (%),Total Imports million U$S,Main imports origin,Value imports main partner,COUNTRY,DESCRIPTION,VALUE,PARTNER,SOURCE
53,Audiologia,Imports,1970-01-01 00:00:00.000002021,,,,0.278,104576.0,Denmark,29064.0,Brazil,,,,
54,Cardiovascular,Imports,1970-01-01 00:00:00.000002021,,,,0.236,108377.0,United States,25624.0,Brazil,,,,
55,Demais equip. de uso hospitalar - inclusive laser,Imports,1970-01-01 00:00:00.000002021,,,,0.267,872190.0,China,233043.0,Brazil,,,,
56,Diagnostico por imagem e seus insumos,Imports,1970-01-01 00:00:00.000002021,,,,0.269,525499.0,China,141402.0,Brazil,,,,
57,Equip. e material de apoio - OPME,Imports,1970-01-01 00:00:00.000002021,,,,0.247,458298.0,United States,113063.0,Brazil,,,,
58,Equipamentos de Protecao Individual (EPIs),Imports,1970-01-01 00:00:00.000002021,,,,0.718,118617.0,China,85205.0,Brazil,,,,
59,Equipamentos para laboratorio,Imports,1970-01-01 00:00:00.000002021,,,,0.337,352983.0,United States,118841.0,Brazil,,,,
60,Materiais e aparelhos para odontologia,Imports,1970-01-01 00:00:00.000002021,,,,0.176,165136.0,Alemanha,29075.0,Brazil,,,,
61,Materiais e suprimentos,Imports,1970-01-01 00:00:00.000002021,,,,0.239,1285881.0,Malaysia,307723.0,Brazil,,,,
62,MobiliÃ¡rio para uso odonto/medico/hospitalar,Imports,1970-01-01 00:00:00.000002021,,,,0.5,33058.0,China,16531.0,Brazil,,,,
63,Oftalmologia,Imports,1970-01-01 00:00:00.000002021,,,,0.57,100333.0,United States,57229.0,Brazil,,,,
64,OPME,Imports,1970-01-01 00:00:00.000002021,,,,0.31,439482.0,United States,136046.0,Brazil,,,,
65,Ortopedia,Imports,1970-01-01 00:00:00.000002021,,,,0.259,209271.0,United States,54168.0,Brazil,,,,
66,Reagentes para IVD,Imports,1970-01-01 00:00:00.000002021,,,,0.206,2721549.0,United States,559943.0,Brazil,,,,
67,Equipamentos e analisadores para IVD,Imports,1970-01-01 00:00:00.000002021,,,,0.311,453623.0,United States,141213.0,Brazil,,,,
68,Total de Dispositivos Medicos (DMs),exports,1970-01-01 00:00:00.000002022,799762.0,United States,156420.0,0.196,,,,Brazil,,,,
69,Materiais e equipamentos para a saude,exports,1970-01-01 00:00:00.000002022,658296.0,United States,144304.0,0.219,,,,Brazil,,,,
70,Audiologia,exports,1970-01-01 00:00:00.000002022,5787.0,United States,1313.0,0.227,,,,Brazil,,,,
71,Cardiovascular,exports,1970-01-01 00:00:00.000002022,73922.0, Irlanda,32423.0,0.439,,,,Brazil,,,,
72,Demais equip. de uso hospitalar - inclusive laser 59107,exports,1970-01-01 00:00:00.000002022,72132.0,United States,21847.0,0.303,,,,Brazil,,,,
73,Diagnostico por imagem e seus insumos,exports,1970-01-01 00:00:00.000002022,33615.0,United States,10623.0,0.316,,,,Brazil,,,,
74,Equip. e material de apoio - OPME,exports,1970-01-01 00:00:00.000002022,68134.0,United States,35528.0,0.521,,,,Brazil,,,,
75,Equipamentos de Protecao Individual (EPIs),exports,1970-01-01 00:00:00.000002022,3151.0, Argentina,980.0,0.311,,,,Brazil,,,,
76,Equipamentos para laboratorio,exports,1970-01-01 00:00:00.000002022,16299.0,United States,4847.0,0.297,,,,Brazil,,,,
77,Materiais e aparelhos para odontologia,exports,1970-01-01 00:00:00.000002022,81785.0,United States,18528.0,0.227,,,,Brazil,,,,
78,Materiais e suprimentos,exports,1970-01-01 00:00:00.000002022,288313.0,United States,55102.0,0.191,,,,Brazil,,,,
79,Mobiliario para uso odonto/medico/hospitalar,exports,1970-01-01 00:00:00.000002022,9962.0, Argentina,2033.0,0.204,,,,Brazil,,,,
80,Oftalmologia,exports,1970-01-01 00:00:00.000002022,1333.0,United States,808.0,0.607,,,,Brazil,,,,
81,OPME,exports,1970-01-01 00:00:00.000002022,221305.0,United States,40701.0,0.184,,,,Brazil,,,,
82,Ortopedia,exports,1970-01-01 00:00:00.000002022,73142.0,United States,14968.0,0.205,,,,Brazil,,,,
83,Reagentes para IVD,exports,1970-01-01 00:00:00.000002022,171173.0, Reino Unido,18340.0,0.107,,,,Brazil,,,,
84,Equipamentos e analisadores para IVD,exports,1970-01-01 00:00:00.000002022,17591.0,United States,5558.0,0.316,,,,Brazil,,,,
85,Total de Dispositivos medicos (DMs),imports,1970-01-01 00:00:00.000002022,,,,0.192,6355.0,United States,1219.0,Brazil,,,,
86,Materiais e equipamentos para a saude,imports,1970-01-01 00:00:00.000002022,,,,0.218,3851.0,United States,839.0,Brazil,,,,
87,Audiologia,imports,1970-01-01 00:00:00.000002022,,,,0.398,120.0,Denmark,48.0,Brazil,,,,
88,Cardiovascular,imports,1970-01-01 00:00:00.000002022,,,,0.255,144.0,United States,37.0,Brazil,,,,
89,Demais equip. de uso hospitalar - inclusive laser,imports,1970-01-01 00:00:00.000002022,,,,0.25,910.0,China,228.0,Brazil,,,,
90,Diagnostico por imagem e seus insumos,imports,1970-01-01 00:00:00.000002022,,,,0.247,514.0,China,127.0,Brazil,,,,
91,Equip. e material de apoio - OPME,imports,1970-01-01 00:00:00.000002022,,,,0.236,536.0,United States,126.0,Brazil,,,,
92,Equipamentos de Protecao Individual (EPIs),imports,1970-01-01 00:00:00.000002022,,,,0.794,125.0,China,99.0,Brazil,,,,
93,Equipamentos para laboratorio,imports,1970-01-01 00:00:00.000002022,,,,0.315,348.0,United States,110.0,Brazil,,,,
94,Materiais e aparelhos para odontologia,imports,1970-01-01 00:00:00.000002022,,,,0.183,189.0,China,35.0,Brazil,,,,
95,Materiais e suprimentos,imports,1970-01-01 00:00:00.000002022,,,,0.204,1084.0,China,221.0,Brazil,,,,
96,MobiliÃ¡rio para uso odonto/medico/hospitalar,imports,1970-01-01 00:00:00.000002022,,,,0.461,43.0,China,20.0,Brazil,,,,
97,Oftalmologia,imports,1970-01-01 00:00:00.000002022,,,,0.537,125.0,United States,67.0,Brazil,,,,
98,OPME,imports,1970-01-01 00:00:00.000002022,,,,0.318,592.0,United States,188.0,Brazil,,,,
99,Ortopedia,imports,1970-01-01 00:00:00.000002022,,,,0.283,272.0,United States,77.0,Brazil,,,,
100,Reagentes para IVD,imports,1970-01-01 00:00:00.000002022,,,,0.175,2471.0,Switzerland,432.0,Brazil,,,,
101,Equipamentos e analisadores para IVD,imports,1970-01-01 00:00:00.000002022,,,,0.32,351.0,United States,112.0,Brazil,,,,
102,,,1970-01-01 00:00:00.000002020,,,,,,,,"South Africa, Eswatini and Kenya",Urine bags imports (USD million),0.667,,Medical Industries in Africa - A regional response to supply shortages
103,,,1970-01-01 00:00:00.000002018,,,,,,,,South Africa,Imports medical technology %,0.9,,Overview of the health technology sector in South Africa
104,,,1970-01-01 00:00:00.000002018,,,,,,,,South Africa,Medical technological market (Rand billion) ,350.0,,Overview of the health technology sector in South Africa
105,,,1970-01-01 00:00:00.000002018,,,,,,,,South Africa,Medical technological market (Euros billion),22.0,,Overview of the health technology sector in South Africa
106,,,1970-01-01 00:00:00.000002018,,,,,,,,South Africa,Imports medical technology (Rand billion),317.0,,Overview of the health technology sector in South Africa
107,,,1970-01-01 00:00:00.000002018,,,,,,,,South Africa,Imports medical technology (Euros billion),19.7,,Overview of the health technology sector in South Africa
108,,,1970-01-01 00:00:00.000002018,,,,,,,,South Africa,Exports medical technology (Rand billion),2.67,,Overview of the health technology sector in South Africa
109,,,1970-01-01 00:00:00.000002018,,,,,,,,South Africa,Exports medical technology (Euros million),166.0,,Overview of the health technology sector in South Africa
110,,,1970-01-01 00:00:00.000002018,,,,,,,,South Africa,Main Partners imports: 10 years row %,0.28,United States,Overview of the health technology sector in South Africa
111,,,1970-01-01 00:00:00.000002018,,,,,,,,South Africa,Main Partners imports: 10 years row %,0.14,Germany,Overview of the health technology sector in South Africa
112,,,1970-01-01 00:00:00.000002018,,,,,,,,South Africa,Main Partners imports: 10 years row %,0.09,China,Overview of the health technology sector in South Africa
113,,,1970-01-01 00:00:00.000002018,,,,,,,,South Africa,Main Partners imports: 10 years row %,0.03,Netherlands,Overview of the health technology sector in South Africa
114,,,1970-01-01 00:00:00.000002018,,,,,,,,South Africa,Imports of microscopes 2010-2019 (Rand Millions ~approximately),65.08,,Overview of the health technology sector in South Africa
115,,,1970-01-01 00:00:00.000002018,,,,,,,,South Africa,Imports of Breathing devices 2010-2019 (Rand Millions ~approximately),25.08,,Overview of the health technology sector in South Africa
116,,,1970-01-01 00:00:00.000002018,,,,,,,,South Africa,Imports of Therapy Devices 2010-2019 (Rand Millions ~approximately),11.53,,Overview of the health technology sector in South Africa
117,,,1970-01-01 00:00:00.000002018,,,,,,,,South Africa,Imports of Electronic Imaging Devices 2010-2019 (Rand Millions ~approximately),4.068,,Overview of the health technology sector in South Africa
118,,,1970-01-01 00:00:00.000002018,,,,,,,,South Africa,Imports of Orthopaedic Apppliances 2010-2019 (Rand Millions ~approximately),2.034,,Overview of the health technology sector in South Africa
119,,,1970-01-01 00:00:00.000002018,,,,,,,,South Africa,Imports of Medical Instruments and Devices 2010-2019 (Rand Millions ~approximately),0.678,,Overview of the health technology sector in South Africa
120,,,1970-01-01 00:00:00.000002020,,,,,,,,Mexico,Imports (USD million),1.76,,
121,,,1970-01-01 00:00:00.000002020,,,,,,,,Mexico,Exports (USD million),5.773,,
122,,,1970-01-01 00:00:00.000002021,,,,,,,,Mexico,Exports (MXN million),36.0,,
123,,,1970-01-01 00:00:00.000002021,,,,,,,,Mexico,Imports (MXN million),110.0,,
124,,,1970-01-01 00:00:00.000002022,,,,,,,,Mexico,Imports (USD million),6.237,,
125,,,1970-01-01 00:00:00.000002022,,,,,,,,Mexico,Exports (USD million),2.178,,
126,,,1970-01-01 00:00:00.000002019,,,,,,,,India,CONTRACEPTIVE BASED ON HORMONES ,138.16,,
127,,,1970-01-01 00:00:00.000002019,,,,,,,,India,OTHR MADE UP ARTCLSOTHRTHNCOTTION,200.45,,
128,,,1970-01-01 00:00:00.000002019,,,,,,,,India,Other- Electro - DiagnostcApprts,108.91,,
129,,,1970-01-01 00:00:00.000002019,,,,,,,,India,Cannulae,82.75,,
130,,,1970-01-01 00:00:00.000002019,,,,,,,,India,Others medical exports,174.6,,
131,,,1970-01-01 00:00:00.000002019,,,,,,,,India,Other Diagonostics Instruments ,31.1,,
132,,,1970-01-01 00:00:00.000002019,,,,,,,,India,Other Surgical Instruments and Appliances ( INCLVTRNRY),78.2,,
133,,,1970-01-01 00:00:00.000002019,,,,,,,,India,Orthopaedic or fracture appliances ,38.51,,
134,,,1970-01-01 00:00:00.000002019,,,,,,,,India,X-ray tubes **,125.91,,
135,,,1970-01-01 00:00:00.000002019,,,,,,,,India,Other medical exports,87.43,,
136,,,1970-01-01 00:00:00.000002019,,,,,,,,India,imports (rupias),41110.0,,
137,,,1970-01-01 00:00:00.000002019,,,,,,,,India,exports (rupias),132585.0,,
138,,,1970-01-01 00:00:00.000002019,,,,,,,,India,exports medical devices (USD million),2138.14,,
139,,,1970-01-01 00:00:00.000002019,,,,,,,,India,imports medical devices (USD million),5700.44,,
140,,,1970-01-01 00:00:00.000002019,,,,,,,,India,imports (USD billion),5.65,,
141,,,1970-01-01 00:00:00.000002019,,,,,,,,India,exports (USD billion),18.75,,
142,,,1970-01-01 00:00:00.000002020,,,,,,,,India,CONTRACEPTIVE BASED ON HORMONES ,144.19,,
143,,,1970-01-01 00:00:00.000002020,,,,,,,,India,OTHR MADE UP ARTCLSOTHRTHNCOTTION,145.7,,
144,,,1970-01-01 00:00:00.000002020,,,,,,,,India,Other- Electro - DiagnostcApprts,95.33,,
145,,,1970-01-01 00:00:00.000002020,,,,,,,,India,Cannulae,95.5,,
146,,,1970-01-01 00:00:00.000002020,,,,,,,,India,Other medical exports,189.23,,
147,,,1970-01-01 00:00:00.000002020,,,,,,,,India,Other Diagonostics Instruments ,66.92,,
148,,,1970-01-01 00:00:00.000002020,,,,,,,,India,Other Surgical Instruments and Appliances ( INCLVTRNRY),102.01,,
149,,,1970-01-01 00:00:00.000002020,,,,,,,,India,Orthopaedic or fracture appliances ,52.86,,
150,,,1970-01-01 00:00:00.000002020,,,,,,,,India,X-ray tubes **,133.52,,
151,,,1970-01-01 00:00:00.000002020,,,,,,,,India,Other medical exports,81.35,,
152,,,1970-01-01 00:00:00.000002020,,,,,,,,India,imports (rupias),42943.0,,
153,,,1970-01-01 00:00:00.000002020,,,,,,,,India,exports (rupias),147420.0,,
154,,,1970-01-01 00:00:00.000002020,,,,,,,,India,exports medical devices (USD million),2292.87,,
155,,,1970-01-01 00:00:00.000002020,,,,,,,,India,imports medical devices (USD million),5845.41,,
156,,,1970-01-01 00:00:00.000002020,,,,,,,,India,imports (USD billion),5.83,,
157,,,1970-01-01 00:00:00.000002020,,,,,,,,India,exports (USD billion),20.0,,
158,,,1970-01-01 00:00:00.000002021,,,,,,,,India,Consumables & Disposables,1290.0,,
159,,,1970-01-01 00:00:00.000002021,,,,,,,,India,Surgical Instruments,54.0,,
160,,,1970-01-01 00:00:00.000002021,,,,,,,,India,Electronics Equipment,985.0,,
161,,,1970-01-01 00:00:00.000002021,,,,,,,,India,Implants,99.0,,
162,,,1970-01-01 00:00:00.000002021,,,,,,,,India,IVD Reagent,104.0,,
163,,,1970-01-01 00:00:00.000002021,,,,,,,,India,imports (rupias),49436.0,,
164,,,1970-01-01 00:00:00.000002021,,,,,,,,India,exports (rupias),180555.0,,
165,,,1970-01-01 00:00:00.000002021,,,,,,,,India,exports medical devices (USD million),2531.62,,
166,,,1970-01-01 00:00:00.000002021,,,,,,,,India,imports medical devices (USD million),6240.55,,
167,,,1970-01-01 00:00:00.000002021,,,,,,,,India,imports (USD billion),6.66,,
168,,,1970-01-01 00:00:00.000002021,,,,,,,,India,exports (USD billion),24.35,,
169,,,1970-01-01 00:00:00.000002022,,,,,,,,India,Consumables & Disposables,1378.0,,
170,,,1970-01-01 00:00:00.000002022,,,,,,,,India,Surgical Instruments,71.0,,
171,,,1970-01-01 00:00:00.000002022,,,,,,,,India,Electronics Equipment,1163.0,,
172,,,1970-01-01 00:00:00.000002022,,,,,,,,India,Implants,135.0,,
173,,,1970-01-01 00:00:00.000002022,,,,,,,,India,IVD Reagent,176.0,,
174,,,1970-01-01 00:00:00.000002022,,,,,,,,India,imports (rupias),60060.0,,
175,,,1970-01-01 00:00:00.000002022,,,,,,,,India,exports (rupias),174955.0,,
176,,,1970-01-01 00:00:00.000002022,,,,,,,,India,exports medical devices (USD million),2923.16,,
177,,,1970-01-01 00:00:00.000002022,,,,,,,,India,imports medical devices (USD million),8539.5,,
178,,,1970-01-01 00:00:00.000002022,,,,,,,,India,imports (USD billion),8.06,,
179,,,1970-01-01 00:00:00.000002022,,,,,,,,India,exports (USD billion),23.5,,
180,,,1970-01-01 00:00:00.000002018,,,,,,,,India,imports (rupias),32796.0,,
181,,,1970-01-01 00:00:00.000002018,,,,,,,,India,exports (rupias),110195.0,,
182,,,1970-01-01 00:00:00.000002018,,,,,,,,India,imports (USD billion),4.89,,
183,,,1970-01-01 00:00:00.000002018,,,,,,,,India,exports (USD billion),16.91,,
184,,,1970-01-01 00:00:00.000002017,,,,,,,,Argentina,exports (million USD),56.6,,
185,,,1970-01-01 00:00:00.000002017,,,,,,,,Argentina,exports equipments (%),0.52,,
186,,,1970-01-01 00:00:00.000002017,,,,,,,,Argentina,exports raw materials (%),0.26,,
187,,,1970-01-01 00:00:00.000002017,,,,,,,,Argentina,exports implants (%),0.22,,
188,,,1970-01-01 00:00:00.000002017,,,,,,,,Argentina,imports (million USD),839.8,,
189,,,1970-01-01 00:00:00.000002017,,,,,,,,Argentina,imports equipments (%),0.54,,
190,,,1970-01-01 00:00:00.000002017,,,,,,,,Argentina,imports raw materials (%),0.29,,
191,,,1970-01-01 00:00:00.000002017,,,,,,,,Argentina,imports implants (%),0.17,,
192,,,1970-01-01 00:00:00.000002018,,,,,,,,Argentina,exports (million USD),928.0,,
193,,,1970-01-01 00:00:00.000002021,,,,,,,,Argentina,Ventas Medicamento ético (Mill. Pesos),586.1,,
194,,,1970-01-01 00:00:00.000002021,,,,,,,,Argentina,Ventas Medicamento de venta libre (Mill. Pesos),74.7,,
195,,,1970-01-01 00:00:00.000002021,,,,,,,,Argentina,Consumo Medicamento ético (Mill. Pesos),545.7,,
196,,,1970-01-01 00:00:00.000002021,,,,,,,,Argentina,Consumo Medicamento de venta libre (Mill. Pesos),203.9,,
197,,,1970-01-01 00:00:00.000002021,,,,,,,,Argentina,Exportaciones (mill USD) ,1123.8,,
198,,,1970-01-01 00:00:00.000002021,,,,,,,,Argentina,Importaciones (mill USD),4838.3,,
199,,,1970-01-01 00:00:00.000002021,,,,,,,,Argentina,Exportaciones principios activos (mill USD),211.1,,
200,,,1970-01-01 00:00:00.000002021,,,,,,,,Argentina,Exportaciones Medicamentos (mill USD),883.9,,
201,,,1970-01-01 00:00:00.000002021,,,,,,,,Argentina,Exportaciones Reactivos (mill USD),28.8,,
202,,,1970-01-01 00:00:00.000002021,,,,,,,,Argentina,Importaciones principios activos (mill USD),1341.5,,
203,,,1970-01-01 00:00:00.000002021,,,,,,,,Argentina,Importaciones Medicamentos (mill USD),3291.6,,
204,,,1970-01-01 00:00:00.000002021,,,,,,,,Argentina,Importaciones Reactivos (mill USD),205.4,,
205,,,,,,,,,,,Brazil,strategical molecules,50.0,,
206,,,,,,,,,,,Brazil,strategical molecules production ,7.0,,
207,,,,,,,,,,,Brazil,API production,124.0,,
208,,,,,,,,,,,Several,API production,20.0,,
209,,,,,,,,,,,Several,Raw materials Brazil and Argentina total,350.0,,
210,,,,,,,,,,,India,API production,500.0,,
211,,,1970-01-01 00:00:00.000002020,,,,,,,,China,"Global exports masks, gloves and protective garments %",0.46,,Medical Industries in Africa - A regional response to supply shortages
212,,,1970-01-01 00:00:00.000002020,,,,,,,,Africa continent,Hydrogen medications imports (USD million),340.0,,Medical Industries in Africa - A regional response to supply shortages
213,,,1970-01-01 00:00:00.000002020,,,,,,,,Africa continent,Test Kits imports (USD million),150.0,,Medical Industries in Africa - A regional response to supply shortages
214,,,1970-01-01 00:00:00.000002020,,,,,,,,Africa continent,Urine bags imports (USD million),98.0,,Medical Industries in Africa - A regional response to supply shortages
215,,,1970-01-01 00:00:00.000002020,,,,,,,,Africa continent,African imports of personal protective equipment subjected to trade measures %,0.76,,Medical Industries in Africa - A regional response to supply shortages
216,,,1970-01-01 00:00:00.000002020,,,,,,,,Africa continent,African imports of other medical supplies were subject to temporary trade measures %,0.72,,Medical Industries in Africa - A regional response to supply shortages
217,,,1970-01-01 00:00:00.000002020,,,,,,,,Africa continent,African imports on textile facing trade restrictions %,0.96,,Medical Industries in Africa - A regional response to supply shortages
218,,,1970-01-01 00:00:00.000002020,,,,,,,,Africa continent,African imports on filtered masks facing trade restrictions %,0.9,,Medical Industries in Africa - A regional response to supply shortages
219,,,1970-01-01 00:00:00.000002020,,,,,,,,Africa continent,African medical/surgical equipment (USD billion),1.9,,Medical Industries in Africa - A regional response to supply shortages
220,,,1970-01-01 00:00:00.000002020,,,,,,,,Africa continent,African disinfectants and sterilizers imports (USD billion),9.4,,Medical Industries in Africa - A regional response to supply shortages
221,,,1970-01-01 00:00:00.000002020,,,,,,,,Africa continent,African medical consumables imports (USD billion),3.4,,Medical Industries in Africa - A regional response to supply shortages
222,,,1970-01-01 00:00:00.000002020,,,,,,,,Africa continent,African Test Kits imports (USD billion),2.5,,Medical Industries in Africa - A regional response to supply shortages
223,,,1970-01-01 00:00:00.000002020,,,,,,,,Africa continent,African other medical products imports (USD billion),1.6,,Medical Industries in Africa - A regional response to supply shortages
224,,,1970-01-01 00:00:00.000002020,,,,,,,,Africa continent,African PPE imports (USD billion),0.8,,Medical Industries in Africa - A regional response to supply shortages
225,,,1970-01-01 00:00:00.000002020,,,,,,,,Africa continent,African oxygen therapy equipment (USD billion),0.2,,Medical Industries in Africa - A regional response to supply shortages
226,,,1970-01-01 00:00:00.000002020,,,,,,,,world top five exporters,African personal protective equipment imports %,0.71,,Medical Industries in Africa - A regional response to supply shortages
227,,,1970-01-01 00:00:00.000002020,,,,,,,,world top five exporters,African disinfectants and sterilizers imports %,0.66,,Medical Industries in Africa - A regional response to supply shortages
228,,,1970-01-01 00:00:00.000002020,,,,,,,,world top five exporters,African other medical products imports %,0.48,,Medical Industries in Africa - A regional response to supply shortages
